Record_ID,Date,Month,Quarter,Year,Region,Trust,Hospital,AE_Type,Attendances,Emergency_Admissions,Seen_Within_4Hours,Over_4Hours,Average_Waiting_Time,Longest_Wait_Hours,Left_Before_Treatment,Ambulance_Arrivals,Self_Referrals,GP_Referrals,Other_Referrals
47,10/01/2023,January,1,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,513,118,365,148,212,5,24,43,130,51,332
48,10/01/2023,January,1,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,528,119,371,157,167,12.6,12,193,78,33,417
49,10/01/2023,January,1,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,476,169,398,78,304,8,15,89,141,30,305
50,10/01/2023,January,1,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,424,94,370,54,109,6.3,7,203,177,55,192
51,11/01/2023,January,1,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,507,122,479,28,105,10.5,15,67,140,24,343
52,11/01/2023,January,1,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,311,101,251,60,204,8.5,2,106,156,76,79
53,11/01/2023,January,1,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,476,90,350,126,173,9.2,14,57,162,59,255
54,11/01/2023,January,1,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,300,50,228,72,203,7.9,1,89,240,39,21
55,11/01/2023,January,1,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,650,198,435,215,232,8.6,3,205,281,25,344
56,12/01/2023,January,1,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,694,87,666,28,281,6.4,11,62,117,40,537
57,12/01/2023,January,1,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,680,171,581,99,303,9.6,4,209,124,77,479
58,12/01/2023,January,1,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,462,148,424,38,299,9.8,8,88,178,68,216
59,12/01/2023,January,1,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,459,186,374,85,100,14.7,1,174,62,73,324
60,12/01/2023,January,1,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,579,65,571,8,268,11.9,12,153,152,55,372
61,13/01/2023,January,1,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,263,154,172,91,254,14.6,21,150,103,37,123
62,13/01/2023,January,1,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,679,91,639,40,91,5.8,24,153,150,31,498
63,13/01/2023,January,1,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,660,157,580,80,260,10.5,21,171,192,63,405
64,13/01/2023,January,1,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,661,84,657,4,291,10,19,217,136,69,456
65,13/01/2023,January,1,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,657,74,482,175,232,8.7,24,101,120,54,483
66,14/01/2023,January,1,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,532,117,337,195,192,10.2,15,105,287,74,171
67,14/01/2023,January,1,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,584,91,534,50,208,4.8,22,183,61,79,444
68,14/01/2023,January,1,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,524,140,488,36,253,4.5,7,79,270,10,244
69,14/01/2023,January,1,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,308,65,265,43,191,15.4,8,128,210,46,52
70,14/01/2023,January,1,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,456,55,383,73,117,6.4,13,187,279,50,127
71,15/01/2023,January,1,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,659,150,641,18,220,6.7,20,129,104,42,513
72,15/01/2023,January,1,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,665,67,491,174,258,9.9,0,55,222,30,413
73,15/01/2023,January,1,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,395,99,370,25,259,15.6,5,80,169,33,193
74,15/01/2023,January,1,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,306,135,189,117,219,12.7,10,71,291,78,63
75,15/01/2023,January,1,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,594,164,357,237,225,8.3,2,130,278,61,255
76,16/01/2023,January,1,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,445,107,367,78,140,5.5,24,99,65,31,349
77,16/01/2023,January,1,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,288,122,219,69,241,14.8,2,139,168,33,87
78,16/01/2023,January,1,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,358,74,227,131,290,8,14,89,121,16,221
79,16/01/2023,January,1,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,274,76,188,86,108,7.1,8,106,98,50,126
80,16/01/2023,January,1,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,688,185,457,231,93,4.8,0,113,111,12,565
81,17/01/2023,January,1,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,690,57,591,99,306,7.5,9,182,71,11,608
82,17/01/2023,January,1,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,686,89,543,143,166,11.7,17,184,77,41,568
83,17/01/2023,January,1,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,310,196,226,84,253,14.9,0,88,193,14,103
84,17/01/2023,January,1,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,268,166,171,97,170,9.4,14,99,132,38,98
85,17/01/2023,January,1,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,623,118,499,124,232,7.7,14,149,300,38,285
86,18/01/2023,January,1,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,555,187,439,116,143,11.2,20,141,201,66,288
87,18/01/2023,January,1,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,435,196,294,141,144,15.4,2,158,284,47,104
88,18/01/2023,January,1,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,350,89,344,6,106,12.1,14,57,240,14,96
89,18/01/2023,January,1,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,469,147,304,165,239,12.4,9,189,142,78,249
90,18/01/2023,January,1,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,688,128,550,138,254,14.3,1,160,55,45,588
91,19/01/2023,January,1,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,296,50,272,24,244,11.7,12,159,235,18,43
92,19/01/2023,January,1,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,296,52,210,86,196,10.5,17,164,125,18,153
93,19/01/2023,January,1,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,292,125,276,16,131,5.7,25,52,181,33,78
94,19/01/2023,January,1,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,462,53,282,180,248,9.7,13,199,153,28,281
95,19/01/2023,January,1,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,516,167,486,30,101,12,21,107,256,62,198
96,20/01/2023,January,1,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,301,113,233,68,153,10.5,9,104,253,53,5
97,20/01/2023,January,1,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,283,174,208,75,111,14,24,78,72,29,182
98,20/01/2023,January,1,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,557,79,409,148,179,5.6,14,184,279,47,231
99,20/01/2023,January,1,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,443,58,304,139,200,7,0,205,166,16,261
100,20/01/2023,January,1,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,400,122,367,33,198,11.9,24,199,92,73,235
101,21/01/2023,January,1,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,429,110,280,149,193,9.3,8,195,215,69,145
102,21/01/2023,January,1,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,677,110,500,177,177,7,17,140,205,35,437
103,21/01/2023,January,1,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,664,100,463,201,148,9.1,23,74,147,59,458
104,21/01/2023,January,1,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,390,184,307,83,269,15.1,25,102,152,45,193
105,21/01/2023,January,1,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,364,99,271,93,272,14.6,15,151,74,29,261
106,22/01/2023,January,1,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,504,105,339,165,296,9.5,19,204,173,58,273
107,22/01/2023,January,1,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,528,90,474,54,202,9.4,22,176,226,31,271
108,22/01/2023,January,1,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,598,172,521,77,226,9.4,16,219,90,35,473
109,22/01/2023,January,1,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,572,56,423,149,136,12.1,24,138,195,26,351
110,22/01/2023,January,1,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,292,109,175,117,105,14.1,24,191,123,78,91
111,23/01/2023,January,1,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,535,137,499,36,310,4.8,7,111,201,13,321
112,23/01/2023,January,1,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,656,169,504,152,296,15.1,24,172,207,63,386
113,23/01/2023,January,1,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,599,56,469,130,221,9.7,23,211,143,20,436
114,23/01/2023,January,1,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,443,118,285,158,98,7.8,24,84,86,48,309
115,23/01/2023,January,1,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,475,193,399,76,127,9.9,11,196,90,31,354
116,24/01/2023,January,1,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,527,122,436,91,158,12.9,6,79,74,76,377
117,24/01/2023,January,1,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,252,126,159,93,160,10,7,44,106,60,86
118,24/01/2023,January,1,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,697,67,653,44,186,11.2,1,86,216,10,471
119,24/01/2023,January,1,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,658,186,591,67,283,14.8,17,100,65,21,572
120,24/01/2023,January,1,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,644,130,570,74,224,14,15,190,173,72,399
121,25/01/2023,January,1,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,615,73,501,114,280,5.7,2,170,95,58,462
122,25/01/2023,January,1,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,542,129,489,53,165,5,0,113,81,16,445
123,25/01/2023,January,1,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,549,95,526,23,140,7.2,11,103,66,77,406
124,25/01/2023,January,1,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,421,54,332,89,201,5.4,9,95,150,70,201
125,25/01/2023,January,1,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,384,177,316,68,94,15.1,1,133,124,23,237
126,26/01/2023,January,1,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,463,125,341,122,183,7.8,25,117,102,44,317
127,26/01/2023,January,1,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,283,108,211,72,296,15.8,2,98,227,61,5
128,26/01/2023,January,1,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,556,77,352,204,317,5.7,8,85,167,10,379
129,26/01/2023,January,1,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,357,60,218,139,263,14.8,9,156,129,67,161
130,26/01/2023,January,1,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,361,181,352,9,115,14,14,148,165,27,169
131,27/01/2023,January,1,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,387,122,288,99,154,4.6,4,157,283,26,78
132,27/01/2023,January,1,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,663,112,660,3,239,5,11,102,72,70,521
133,27/01/2023,January,1,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,378,119,358,20,164,10.6,24,190,246,15,117
134,27/01/2023,January,1,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,343,162,294,49,306,6.6,17,114,199,47,97
135,27/01/2023,January,1,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,349,80,239,110,149,8.7,10,125,247,80,22
136,28/01/2023,January,1,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,356,142,331,25,158,4.1,5,46,94,80,182
137,28/01/2023,January,1,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,544,139,363,181,138,11.1,25,85,125,18,401
138,28/01/2023,January,1,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,561,102,547,14,90,14.2,24,105,176,62,323
139,28/01/2023,January,1,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,678,188,468,210,219,6.7,7,190,230,21,427
140,28/01/2023,January,1,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,306,187,273,33,226,4.1,12,45,108,16,182
141,29/01/2023,January,1,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,403,160,358,45,213,15.6,4,144,202,18,183
142,29/01/2023,January,1,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,587,83,564,23,205,6.1,21,180,122,56,409
143,29/01/2023,January,1,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,415,157,268,147,266,13.2,14,210,131,57,227
144,29/01/2023,January,1,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,316,90,189,127,305,14.9,21,89,86,51,179
145,29/01/2023,January,1,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,659,80,577,82,166,13.8,7,46,135,79,445
146,30/01/2023,January,1,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,643,174,601,42,145,5.9,21,119,219,16,408
147,30/01/2023,January,1,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,283,109,270,13,153,9,18,177,159,31,93
148,30/01/2023,January,1,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,520,170,497,23,234,15.9,6,159,152,58,310
149,30/01/2023,January,1,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,550,163,415,135,276,13.5,0,178,278,51,221
150,30/01/2023,January,1,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,448,152,270,178,266,4.9,12,57,164,76,208
151,31/01/2023,January,1,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,273,84,208,65,125,5.6,10,52,93,35,145
152,31/01/2023,January,1,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,503,71,327,176,228,15.6,15,216,78,56,369
153,31/01/2023,January,1,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,639,140,443,196,285,12.5,19,137,107,14,518
154,31/01/2023,January,1,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,268,133,262,6,237,7.9,5,155,78,47,143
155,31/01/2023,January,1,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,324,171,212,112,253,6.4,13,125,81,54,189
156,01/02/2023,February,1,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,477,118,320,157,122,5.8,23,51,104,56,317
157,01/02/2023,February,1,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,627,68,476,151,119,8.5,25,79,162,57,408
158,01/02/2023,February,1,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,374,99,272,102,253,15.9,11,206,186,66,122
159,01/02/2023,February,1,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,336,83,305,31,128,8.8,22,180,248,48,40
160,01/02/2023,February,1,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,393,170,278,115,133,13.9,3,131,226,22,145
161,02/02/2023,February,1,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,526,88,434,92,97,6.9,4,74,167,71,288
162,02/02/2023,February,1,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,342,197,306,36,142,7.7,10,181,274,17,51
